statistic,r2,mse,mad
mean,0.7282084164048587,35.33672325761832,1.425057075048029
std,0.10954150415784812,21.336333433047457,0.22519851741430447
min,0.06262343979337504,4.238980645099582,0.9189729610996602
max,0.9091562195136187,91.73356509403173,1.8940163811537736
